Groundout,-0.25,0.00
Strikeout,-0.25,1.00
Single,1.00,0.00
Pop Out,-0.25,0.00
Flyout,-0.25,0.00
Walk,1.00,0.00
Bunt Pop Out,-0.25,0.00
Double,2.00,0.00
Home Run,5.00,0.00
Triple,3.00,0.00
Lineout,-0.25,0.00
Forceout,0.00,0.00
Grounded Into DP,-0.25,0.00
Sac Fly,-0.25,0.00
Intent Walk,1.00,0.00
Fan interference,0.00,0.00
Fielders Choice Out,0.00,0.00
Bunt Groundout,-0.25,0.00
Hit By Pitch,1.00,0.00
Sac Bunt,-0.25,0.00
Field Error,0.00,0.00
Catcher Interference,0.00,0.00
Runner Out,0.00,0.00
Fielders Choice,0.00,0.00
Strikeout - DP,-0.25,1.00
Ground Out,-0.25,0.00
Force Out,0.00,0.00
Fly Out,-0.25,0.00
Line Out,-0.25,0.00
Double Play,-0.25,0.00
Bunt Ground Out,-0.25,0.00
Sac Fly DP,-0.25,0.00
Bunt Lineout,-0.25,0.00
Batter Interference,0.00,0.00
Triple Play,-0.25,0.00
